FOOD COMMODITY GROUP_x,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,Uncertainty    low (L) high (H),Suggested CF value,Food commodity TYPOLOGY_x,Carbon Footprint g CO2eq/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY_x,Carbon Footprint g CO2eq/g o cc of food sub-TYPOLOGY,FOOD COMMODITY GROUP_y,Water Footprint liters water/kg o liter of food ITEM,Uncertainty    low  (L)  high (H),Suggested WF value,Food commodity TYPOLOGY_y,Water Footprint cc water/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY_y,Water Footprint cc water/g o cc of food sub-TYPOLOGY
AGRICULTURAL PROCESSED,TOMATO PUREE,1.03,L,OK item,"TOMATO PUREE,PEELED, CHOPPED",1.3,-,-,AGRICULTURAL PROCESSED,713.0,L,ok item,"TOMATO PUREE,PEELED, CHOPPED",713.0,-,-
AGRICULTURAL PROCESSED,TOMATO & BASIL,1.14,L,OK item,TOMATO SAUCE,1.19,-,-,AGRICULTURAL PROCESSED,147.0,L,ok item,TOMATO SAUCE,151.0,-,-
AGRICULTURAL PROCESSED,TOMATO ARRABBIATA,1.24,L,OK item,TOMATO SAUCE,1.19,-,-,AGRICULTURAL PROCESSED,155.0,L,ok item,TOMATO SAUCE,151.0,-,-
AGRICULTURAL PROCESSED,CORN CANNED,1.36,H,better typology,VEGETABLES CANNED,1.48,-,-,AGRICULTURAL PROCESSED,807.0,H,item matching typology,VEGETABLES CANNED,807.0,-,-
AGRICULTURAL PROCESSED,QUORNE,2.5,H,better typology,VEGETAL PROTEINS,2.27,-,-,AGRICULTURAL PROCESSED,2000.0,H,better typology,VEGETAL PROTEINS,1724.0,-,-
AGRICULTURAL PROCESSED,SOY BURGER,1.48,H,better typology,VEGETAL PROTEINS,2.27,-,-,AGRICULTURAL PROCESSED,1053.0,L,ok item,VEGETAL PROTEINS,1724.0,-,-
AGRICULTURAL PROCESSED,TOFU,2.27,L,OK item,VEGETAL PROTEINS,2.27,-,-,AGRICULTURAL PROCESSED,1724.5,H,better typology,VEGETAL PROTEINS,1724.0,-,-
AGRICULTURAL PROCESSED,YEAST COMPRESSED*,0.82,H,Item matching typology,YEAST COMPRESSED*,0.824,-,-,AGRICULTURAL PROCESSED,51.0,H,item matching typology,YEAST COMPRESSED*,51.0,,-
ANIMAL HUSBANDRY,BEEF BONE FREE MEAT*,25.75,H,Item matching typology,BEEF BONE FREE MEAT*,25.75,,-,ANIMAL HUSBANDRY,15139.0,L,item matching typology,BEEF BONE FREE MEAT*,15139.0,,-
ANIMAL HUSBANDRY,BUTTER*,8.48,L,OK item,BUTTER*,8.48,-,-,ANIMAL HUSBANDRY,5659.0,L,item matching typology,BUTTER*,5659.0,-,-
ANIMAL HUSBANDRY,CREAM,5.45,L,OK item,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,3838.0,L,ok item,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,MASCARPONE,5.7,H,better typology,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,6100.0,H,better typology,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,MOZZARELLA,8.2,L,OK item,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,9410.0,H,better typology,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,RICOTTA,3.4,H,better typology,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,2470.5,L,ok item,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,STRACCHINO,4.92,H,better typology,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,5600.0,H,better typology,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,CHEESE,8.93,L,OK item,CHEESE HARD & SEMI-HARD,9.59,-,-,ANIMAL HUSBANDRY,5253.0,L,ok item,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,PARMIGIANO REGGIANO,12.54,H,better typology,CHEESE HARD & SEMI-HARD,9.59,-,-,ANIMAL HUSBANDRY,10200.0,H,better typology,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,MEALWORMS*,2.84,H,Item matching typology,EDIBLE INSECTS* (mealworms),2.84,-,-,ANIMAL HUSBANDRY,4341.0,H,item matching typology,EDIBLE INSECTS* (mealworms),4341.0,-,-
ANIMAL HUSBANDRY,LAMB BONE FREE MEAT*,25.23,L,OK item,LAMB BONE FREE MEAT*,25.23,-,-,ANIMAL HUSBANDRY,10412.0,L,item matching typology,LAMB BONE FREE MEAT*,10412.0,-,-
ANIMAL HUSBANDRY,LAMB MEAT WITH BONE*,16.7,L,OK item,LAMB MEAT WITH BONE*,16.7,-,-,ANIMAL HUSBANDRY,4362.0,L,item matching typology,LAMB MEAT WITH BONE*,4362.0,-,-
ANIMAL HUSBANDRY,COW MILK,1.31,L,OK item,MILK,1.44,-,-,ANIMAL HUSBANDRY,1260.5,L,ok item,MILK,1599.0,-,-
ANIMAL HUSBANDRY,PORK BONE FREE MEAT*,5.72,L,OK item,PORK BONE FREE MEAT*,5.72,-,-,ANIMAL HUSBANDRY,6299.0,L,item matching typology,PORK BONE FREE MEAT*,6299.0,-,-
ANIMAL HUSBANDRY,BACON,4.03,H,better typology,PORK CURED MEAT,5.99,-,-,ANIMAL HUSBANDRY,6116.0,L,ok item,PORK CURED MEAT,6177.0,-,-
ANIMAL HUSBANDRY,CHICKEN BONE FREE MEAT,3.68,L,OK item,POULTRY BONE FREE MEAT,3.88,-,-,ANIMAL HUSBANDRY,3960.0,L,ok item,POULTRY BONE FREE MEAT,4325.0,-,-
ANIMAL HUSBANDRY,YOGURT WHITE,1.69,L,OK item,YOGURT,2.55,-,-,ANIMAL HUSBANDRY,1540.0,L,ok item,YOGURT,1540.0,-,-
CROPS,CLEMENTINE,0.41,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34,CROPS,748.0,L,ok item,FRUIT,748.0,CITRUS FRUIT,654
CROPS,LEMON,0.22,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34,CROPS,642.0,L,ok item,FRUIT,748.0,CITRUS FRUIT,654
CROPS,LIME,0.22,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34,CROPS,642.0,L,ok item,FRUIT,748.0,CITRUS FRUIT,654
CROPS,MANDARIN,0.45,L,OK item,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34,CROPS,748.0,L,ok item,FRUIT,748.0,CITRUS FRUIT,654
CROPS,ORANGE,0.3,L,OK item,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34,CROPS,654.0,L,ok item,FRUIT,748.0,CITRUS FRUIT,654
CROPS,TANGERIN,0.38,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34,CROPS,748.0,L,ok item,FRUIT,748.0,CITRUS FRUIT,654
CROPS,APPLE,0.25,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,622.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,APRICOT,0.3,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,1287.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,AVOCADO,0.54,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,1805.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,BANANA,0.34,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,500.0,H,better typology,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,FIG,0.26,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,3350.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,GRAPES,0.31,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,608.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,GUAVA,0.28,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,1800.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,KIWI,0.49,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,514.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,MANGO,0.31,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,1855.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,PEACH,0.39,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,910.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,PEAR,0.27,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,922.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,PINEAPPLE,0.28,L,item or typology or subtypology,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,255.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,PLUM,0.26,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,2180.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,WATERMELON,0.52,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32,CROPS,185.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,BLACKBERRY,0.42,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,413.0,L,ok item,FRUIT,748.0,WILD BERRIES,413
CROPS,BLUEBERRY,0.78,L,OK item,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,845.0,L,ok item,FRUIT,748.0,WILD BERRIES,413
CROPS,CRANBERRY,0.87,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,276.0,L,ok item,FRUIT,748.0,WILD BERRIES,413
CROPS,CURRANT,0.64,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,499.0,L,ok item,FRUIT,748.0,WILD BERRIES,413
CROPS,GOOSEBERRY,0.84,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,526.0,L,ok item,FRUIT,748.0,WILD BERRIES,413
CROPS,RASPBERRY,0.63,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,413.0,L,ok item,FRUIT,748.0,WILD BERRIES,413
CROPS,STRAWBERRY,0.61,L,OK item,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64,CROPS,247.9,L,better sub-typology,FRUIT,748.0,WILD BERRIES,413
CROPS,BARLEY,0.48,L,OK item,GRAINS,0.57,-,-,CROPS,1423.0,L,ok item,GRAINS,1618.0,-,-
CROPS,MAIZE,0.48,L,item or typology,GRAINS,0.57,-,-,CROPS,1191.0,L,ok item,GRAINS,1618.0,-,-
CROPS,MILLET,0.86,H,better typology,GRAINS,0.57,-,-,CROPS,4478.0,L,ok item,GRAINS,1618.0,-,-
CROPS,OAT,0.67,L,OK item,GRAINS,0.57,-,-,CROPS,1788.0,L,ok item,GRAINS,1618.0,-,-
CROPS,RYE,0.38,H,better typology,GRAINS,0.57,-,-,CROPS,1554.0,L,ok item,GRAINS,1618.0,-,-
CROPS,SORGHUM,0.88,H,better typology,GRAINS,0.57,-,-,CROPS,3048.0,L,ok item,GRAINS,1618.0,-,-
CROPS,WHEAT,0.57,L,OK item,GRAINS,0.57,-,-,CROPS,1639.0,L,ok item,GRAINS,1618.0,-,-
CROPS,BEAN,0.43,L,OK item,LEGUMES,0.52,-,-,CROPS,5053.0,L,ok item,LEGUMES DRIED,4615.0,-,-
CROPS,CHICKPEA,0.77,H,better typology,LEGUMES,0.52,-,-,CROPS,4177.0,L,ok item,LEGUMES DRIED,4615.0,-,-
CROPS,COWPEA,0.49,L,OK item,LEGUMES,0.52,-,-,CROPS,6906.0,L,ok item,LEGUMES DRIED,4615.0,-,-
CROPS,LENTIL,1.03,H,better typology,LEGUMES,0.52,-,-,CROPS,5874.0,L,ok item,LEGUMES DRIED,4615.0,-,-
CROPS,PEA,0.45,L,OK item,LEGUMES,0.52,-,-,CROPS,1979.0,L,ok item,LEGUMES DRIED,4615.0,-,-
CROPS,SOYBEAN,0.56,L,OK item,LEGUMES,0.52,-,-,CROPS,1816.4,L,better typology,LEGUMES DRIED,4615.0,-,-
CROPS,CHESTNUT,0.44,H,better typology,NUTS,1.11,-,-,CROPS,2750.0,L,ok item,NUTS WITH SHELL,4918.0,-,-
CROPS,MIXED NUTS,0.47,H,better typology,NUTS,1.11,-,-,CROPS,9063.0,L,ok item,NUTS SHELLED,11264.0,-,-
CROPS,PALM NUT,0.8,H,better typology,NUTS,1.11,-,-,CROPS,2868.0,L,ok item,FRUIT,748.0,"FRUIT (excluded citrus, wild berries and olives)",1506
CROPS,PEANUT,0.83,L,OK item,NUTS,1.11,-,-,CROPS,2782.0,L,ok item,NUTS WITH SHELL,4918.0,-,-
CROPS,PISTACHIO,1.6,L,OK item,NUTS,1.11,-,-,CROPS,11363.0,L,ok item,NUTS SHELLED,11264.0,-,-
